City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,beloha,-25.1667,45.05,24.54,67,100,3.98,MG,1667676628
84,hithadhoo,-0.6,73.0833,27.36,74,100,4.04,MV,1667676629
85,kutum,14.2,24.6667,22.1,21,0,2.58,SD,1667676629
86,aklavik,68.2191,-135.0107,-14.1,83,52,6.57,CA,1667676630
87,port alfred,-33.5906,26.891,16.77,91,31,1.39,ZA,1667676630
88,platanos,37.6667,21.6167,16.16,86,100,6.4,GR,1667676631
89,tomatlan,19.9333,-105.25,30.66,47,0,2.14,MX,1667676631
90,hunchun,42.8675,130.3581,-1.54,64,0,1.41,CN,1667676631
91,carnarvon,-24.8667,113.6333,18.43,76,0,8.03,AU,1667676632
92,iqaluit,63.7506,-68.5145,-8.15,73,100,1.03,CA,1667676632
93,araouane,18.9048,-3.5265,27.41,16,0,3.37,ML,1667676632
94,emsdetten,52.1833,7.5333,10.08,82,0,3.09,DE,1667676633
95,khani,41.9563,42.9566,7.76,91,96,0.69,GE,1667676633
96,varzea da palma,-17.5981,-44.7308,24.69,52,94,1.24,BR,1667676633
97,kulevcha,46.0303,29.9361,12.94,69,100,7.3,UA,1667676634
98,la romana,18.4273,-68.9728,24.2,94,75,3.09,DO,1667676634
99,bambous virieux,-20.3428,57.7575,23.45,83,40,3.09,MU,1667676635
100,namibe,-15.1961,12.1522,19.53,81,5,3.38,AO,1667676635
101,kavieng,-2.5744,150.7967,27.86,78,54,3.17,PG,1667676635
102,zapolyarnyy,69.4154,30.8136,2.6,91,100,7.61,RU,1667676362
103,kpandu,6.9954,0.2931,25.63,81,100,3.51,GH,1667676636
104,malanje,-9.5402,16.341,18.18,97,100,2.62,AO,1667676636
105,dekar,-21.5333,21.9333,29.22,30,91,1.53,BW,1667676637
106,hilo,19.7297,-155.09,27.01,92,100,3.09,US,1667676637
107,bestobe,52.4994,73.0975,-1.48,68,75,9.73,KZ,1667676637
108,lagoa,39.05,-27.9833,17.6,64,100,5.87,PT,1667676430
109,victoria,22.2855,114.1577,20.74,88,87,4.02,HK,1667676417
110,ginir,7.1333,40.7,13.37,79,8,2.49,ET,1667676638
111,salalah,17.0151,54.0924,28.05,78,75,1.54,OM,1667676638
112,agadez,19.75,10.25,21.45,19,100,2.94,NE,1667676638
113,ossora,59.2353,163.0719,-1.46,92,94,1.73,RU,1667676639
114,nisporeni,47.0814,28.1783,13.06,81,100,6.85,MD,1667676639
115,sitka,57.0531,-135.33,3.94,56,40,2.57,US,1667676640
116,mataura,-46.1927,168.8643,9.66,61,30,1.2,NZ,1667676640
117,keetmanshoop,-26.5833,18.1333,24.76,13,0,2.79,NA,1667676640
118,shenjiamen,29.9576,122.298,15.17,63,99,3.37,CN,1667676641
119,uthal,25.8072,66.6219,24.9,64,100,2.18,PK,1667676641
120,hervey bay,-25.2986,152.8535,19.29,76,68,5.56,AU,1667676614
121,gigmoto,13.7796,124.39,26.64,87,96,3.04,PH,1667676642
122,bandarbeyla,9.4942,50.8122,26.0,66,4,4.45,SO,1667676642
123,costinesti,43.95,28.6333,16.35,88,100,6.26,RO,1667676642
124,chuy,-33.6971,-53.4616,18.08,66,11,5.98,UY,1667676643
125,aksu,41.1231,80.2644,9.09,36,100,0.5,CN,1667676643
126,nanortalik,60.1432,-45.2371,1.51,89,100,3.23,GL,1667676644
127,souillac,-20.5167,57.5167,23.21,83,40,3.09,MU,1667676644
128,san isidro,-12.1167,-77.05,19.77,60,75,4.63,PE,1667676645
129,lensk,60.7253,114.9278,-6.73,81,100,5.69,RU,1667676645
130,vila franca do campo,37.7167,-25.4333,17.23,78,100,3.07,PT,1667676645
131,kidal,18.4411,1.4078,26.03,14,0,5.23,ML,1667676646
132,benicarlo,40.4165,0.4271,17.17,44,3,2.19,ES,1667676646
133,east london,-33.0153,27.9116,19.84,72,25,1.39,ZA,1667676647
134,saskylakh,71.9167,114.0833,-27.36,100,100,1.2,RU,1667676647
135,le port,-20.9373,55.2919,26.05,100,12,1.53,RE,1667676648
136,dawlatabad,36.4141,64.9053,14.51,69,75,1.1,AF,1667676648
137,haines junction,60.7522,-137.5108,-11.03,52,100,1.03,CA,1667676649
138,santa maria,-29.6842,-53.8069,24.61,33,0,7.72,BR,1667676649
139,qaanaaq,77.484,-69.3632,-14.88,69,99,4.58,GL,1667676649
140,daru,-9.0763,143.2092,26.82,84,77,5.24,PG,1667676650
141,katsuura,35.1333,140.3,15.24,74,100,7.09,JP,1667676650
142,port-gentil,-0.7193,8.7815,26.98,89,40,4.63,GA,1667676650
143,shibetsu,43.659,145.132,3.04,76,15,2.91,JP,1667676651
144,urumqi,43.801,87.6005,4.53,70,100,1.0,CN,1667676651
145,rawson,-43.3002,-65.1023,32.16,17,0,14.92,AR,1667676652
146,nalut,30.3333,10.85,15.38,33,0,4.44,LY,1667676652
147,srednekolymsk,67.45,153.6833,-18.16,97,100,6.69,RU,1667676652
148,gravdal,68.1214,13.5031,7.06,79,100,2.56,NO,1667676653
149,upernavik,72.7868,-56.1549,-10.2,73,47,2.99,GL,1667676653
150,narathiwat,6.3333,101.75,23.81,94,100,1.07,TH,1667676653
151,harper,4.375,-7.7169,25.62,85,75,3.07,LR,1667676654
152,lebu,-37.6167,-73.65,14.12,70,1,3.28,CL,1667676654
153,chokurdakh,70.6333,147.9167,-13.69,96,100,0.84,RU,1667676654
154,acarau,-2.8856,-40.12,27.61,71,96,7.02,BR,1667676655
155,sao felix do xingu,-6.6447,-51.995,28.63,68,54,0.78,BR,1667676655
156,concepcion del oro,24.6333,-101.4167,22.1,16,0,2.76,MX,1667676656
157,ixtapa,20.7,-105.2,28.46,65,0,4.63,MX,1667676598
158,saldanha,-33.0117,17.9442,18.03,87,67,9.46,ZA,1667676362
159,buala,-8.145,159.5921,26.63,83,100,1.98,SB,1667676656
160,amga,60.8953,131.9608,-13.55,97,100,1.59,RU,1667676656
161,baykit,61.67,96.37,-11.93,100,98,0.54,RU,1667676657
162,thompson,55.7435,-97.8558,-2.91,93,100,2.57,CA,1667676657
163,pisco,-13.7,-76.2167,20.03,68,0,3.6,PE,1667676658
164,komsomolskiy,40.4272,71.7189,9.4,93,97,3.09,UZ,1667676658
165,airai,-8.9266,125.4092,15.41,80,80,1.18,TL,1667676658
166,provideniya,64.3833,-173.3,-4.76,96,100,4.85,RU,1667676659
167,te anau,-45.4167,167.7167,4.37,87,33,0.39,NZ,1667676423
168,tilichiki,60.4667,166.1,-1.92,92,73,2.04,RU,1667676659
169,luba,3.4568,8.5547,25.94,82,100,3.11,GQ,1667676660
170,klaksvik,62.2266,-6.589,5.51,66,100,3.87,FO,1667676660
171,padra,22.2333,73.0833,24.97,38,2,1.79,IN,1667676660
172,vilhena,-12.7406,-60.1458,30.12,32,20,3.09,BR,1667676661
173,abilene,32.4487,-99.7331,20.43,22,0,8.23,US,1667676384
174,oranjemund,-28.55,16.4333,16.24,95,2,3.23,NA,1667676661
175,manacapuru,-3.2997,-60.6206,30.83,52,100,1.55,BR,1667676662
176,diu,20.7141,70.9822,25.91,45,5,2.08,IN,1667676662
177,luderitz,-26.6481,15.1594,16.66,82,33,2.75,NA,1667676662
178,karasburg,-28.0167,18.75,23.13,20,0,2.82,NA,1667676663
179,chichihualco,17.6833,-99.65,25.87,60,11,1.27,MX,1667676663
180,sapa,5.1544,120.3241,26.87,81,100,1.5,PH,1667676664
181,lata,40.1629,-8.3327,11.71,76,10,0.27,PT,1667676664
182,yar-sale,66.8333,70.8333,-9.47,85,100,2.47,RU,1667676664
183,san vicente,-26.6167,-54.1333,21.49,52,83,1.94,AR,1667676665
184,faanui,-16.4833,-151.75,24.8,93,100,12.82,PF,1667676665
185,ponta do sol,32.6667,-17.1,22.06,89,38,1.6,PT,1667676666
186,mao,39.8885,4.2658,14.31,62,0,2.57,ES,1667676666
187,dalby,-27.1833,151.2667,11.1,96,0,4.3,AU,1667676667
188,villa del rosario,7.8339,-72.4742,28.21,54,75,6.69,CO,1667676667
189,port augusta,-32.5,137.7667,17.65,42,62,2.14,AU,1667676668
190,northampton,40.8754,-75.2499,23.91,67,100,0.89,US,1667676668
191,castro,-24.7911,-50.0119,17.25,61,59,2.09,BR,1667676669
192,new norfolk,-42.7826,147.0587,10.5,82,66,1.06,AU,1667676669
193,hambantota,6.1241,81.1185,24.13,90,100,2.36,LK,1667676669
194,byron bay,-28.65,153.6167,14.98,86,40,3.78,AU,1667676670
195,margate,51.3813,1.3862,13.5,89,100,4.02,GB,1667676494
196,shingu,33.7333,135.9833,11.25,76,25,2.58,JP,1667676670
197,mahebourg,-20.4081,57.7,23.47,83,40,3.09,MU,1667676487
198,deputatskiy,69.3,139.9,-21.86,95,100,2.83,RU,1667676671
199,mikhaylovka,50.06,43.2379,3.21,85,100,3.1,RU,1667676672
200,cabo san lucas,22.8909,-109.9124,28.67,57,0,4.63,MX,1667676587
201,makakilo city,21.3469,-158.0858,27.18,66,0,4.12,US,1667676672
202,bengkulu,-3.8004,102.2655,23.85,88,100,1.03,ID,1667676672
203,port moresby,-9.4431,147.1797,24.68,88,75,1.54,PG,1667676673
204,oistins,13.0667,-59.5333,29.05,74,40,9.26,BB,1667676673
205,kruisfontein,-34.0033,24.7314,19.38,92,85,1.13,ZA,1667676673
206,wajima,37.4,136.9,11.81,56,7,2.73,JP,1667676674
207,athabasca,54.7169,-113.2854,-5.82,66,100,7.39,CA,1667676674
208,chipinge,-20.1883,32.6236,18.21,92,100,1.41,ZW,1667676675
209,killybegs,54.6333,-8.45,10.84,85,94,9.13,IE,1667676675
